commodity,unit,latest_date,latest_bs_date,current_avg_price,baseline_median_7,baseline_mean_7,abs_change_vs_median,pct_change_vs_median,history_points,latest_history_confidence_band,latest_history_confidence_rank,latest_is_default_model_window,abs_pct_change
छ्यापी हरियो,केजी,2026-05-17 05:01:35.816141,"जेठ ०३, २०८३",95.0,85.0,81.79,10.0,11.76,2563,current_live,4,True,11.76
बन्दा(नरिवल),केजी,2026-05-07 04:45:31.275410,"बैशाख २४, २०८३",25.0,22.5,23.93,2.5,11.11,894,current_live,4,True,11.11
आलु रातो(लाम्चो),केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",36.5,33.0,34.84,3.5,10.61,28,current_live,4,True,10.61
आलु रातो(भारतीय),केजी,2026-05-26 05:13:48.159356,"जेठ १२, २०८३",27.5,25.0,24.5,2.5,10.0,2288,current_live,4,True,10.0
स्याउ(झोले),केजी,2026-05-21 05:20:10.957639,"जेठ ०७, २०८३",215.0,235.0,223.57,-20.0,-8.51,3601,current_live,4,True,8.51
काक्रो(लोकलक्रस),केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",55.0,60.0,62.32,-5.0,-8.33,136,current_live,4,True,8.33
च्याउ(कन्य),केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",207.5,225.0,223.33,-17.5,-7.78,4435,current_live,4,True,7.78
गोलभेडा ठूलो(भारतीय),केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",65.0,70.0,69.64,-5.0,-7.14,2108,current_live,4,True,7.14
चाक्सी,केजी,2025-10-28 00:00:00.000000,"कार्तिक ११, २०८२",140.0,150.0,149.79,-10.0,-6.67,30,stronger_historical,3,True,6.67
खरबुजा,केजी,2025-03-22 00:00:00.000000,"चैत ०९, २०८१",45.0,42.33,42.33,2.67,6.31,34,stronger_historical,3,True,6.31
तितो करेला,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",33.75,36.0,38.29,-2.25,-6.25,4375,current_live,4,True,6.25
खु्र्सानी हरियो,केजी,2026-05-10 04:54:39.142124,"बैशाख २७, २०८३",90.0,95.0,91.19,-5.0,-5.26,4415,current_live,4,True,5.26
केरा,दर्जन,2026-05-10 04:54:39.142124,"बैशाख २७, २०८३",190.0,200.0,200.0,-10.0,-5.0,4421,current_live,4,True,5.0
बन्दा(लोकल),केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",56.25,53.75,49.11,2.5,4.65,4451,current_live,4,True,4.65
घिरौला,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",53.75,56.25,57.14,-2.5,-4.44,3160,current_live,4,True,4.44
किनु,केजी,2026-04-11 03:47:34.091088,"चैत २८, २०८२",125.0,120.0,120.71,5.0,4.17,794,current_live,4,True,4.17
सेतो मूला(हाइब्रीड),केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",17.0,17.67,18.45,-0.67,-3.79,2481,current_live,4,True,3.79
आलु रातो,केजी,2026-05-10 04:54:39.142124,"बैशाख २७, २०८३",25.63,24.75,24.71,0.88,3.56,4418,current_live,4,True,3.56
राजा च्याउ,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",326.67,316.67,318.29,10.0,3.16,718,current_live,4,True,3.16
रातो आलु(गोलो),केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",31.0,32.0,31.21,-1.0,-3.12,28,current_live,4,True,3.12
चिचिण्डो,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",45.0,43.75,40.18,1.25,2.86,2214,current_live,4,True,2.86
माछा ताजा,केजी,2020-10-20 00:00:00.000000,"कार्तिक ०४, २०७७",255.0,248.0,247.43,7.0,2.82,1939,stronger_historical,3,True,2.82
रुख कटहर,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",46.25,45.0,43.57,1.25,2.78,2724,current_live,4,True,2.78
खुर्सानी हरियो(माछे),केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",55.0,56.25,62.32,-1.25,-2.22,2141,current_live,4,True,2.22
फर्सी हरियो(लाम्चो),केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",55.0,56.25,59.4,-1.25,-2.22,3513,current_live,4,True,2.22
भेडे खु्र्सानी,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",68.75,70.0,71.79,-1.25,-1.79,4428,current_live,4,True,1.79
लसुन सुकेको नेपाली,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",167.5,170.0,162.86,-2.5,-1.47,4166,current_live,4,True,1.47
लसुन सुकेको चाइनिज,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",207.5,210.0,208.57,-2.5,-1.19,4431,current_live,4,True,1.19
अंगुर(कालो),केजी,2026-05-19 05:13:39.021117,"जेठ ०५, २०८३",425.0,425.0,425.0,0.0,0.0,1318,current_live,4,True,0.0
अदुवा,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",125.0,125.0,121.43,0.0,0.0,4459,current_live,4,True,0.0
अनार,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",410.0,410.0,407.14,0.0,0.0,4339,current_live,4,True,0.0
अमला,केजी,2026-04-09 04:04:44.069980,"चैत २६, २०८२",180.0,180.0,182.14,0.0,0.0,1091,current_live,4,True,0.0
अम्बा,केजी,2025-12-29 00:00:00.000000,"पुस १४, २०८२",110.0,110.0,110.0,0.0,0.0,1414,stronger_historical,3,True,0.0
आँप(चोसा),केजी,2025-08-16 00:00:00.000000,"साउन ३१, २०८२",210.0,210.0,192.86,0.0,0.0,162,stronger_historical,3,True,0.0
आभोकाडो,केजी,2026-05-26 05:13:48.159356,"जेठ १२, २०८३",750.0,750.0,749.29,0.0,0.0,1495,current_live,4,True,0.0
इमली,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",190.0,190.0,187.86,0.0,0.0,4426,current_live,4,True,0.0
उखु,प्रति वटा,2025-05-08 00:00:00.000000,"बैशाख २५, २०८२",75.0,75.0,76.43,0.0,0.0,644,stronger_historical,3,True,0.0
कुरीलो,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",326.67,326.67,322.33,0.0,0.0,2515,current_live,4,True,0.0
केरा(नेपाली),दर्जन,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",190.0,190.0,187.14,0.0,0.0,27,current_live,4,True,0.0
केरा(मालभोग),दर्जन,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",210.0,210.0,210.0,0.0,0.0,26,current_live,4,True,0.0
खुर्सानी हरियो(लाम्चो),केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",45.0,45.0,46.43,0.0,0.0,28,current_live,4,True,0.0
खु्र्सानी सुकेको,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",426.67,426.67,426.19,0.0,0.0,4458,current_live,4,True,0.0
गुन्दुक,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",326.67,326.67,319.24,0.0,0.0,4000,current_live,4,True,0.0
गोलभेडा ठूलो(नेपाली),केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",55.0,55.0,55.36,0.0,0.0,3648,current_live,4,True,0.0
ग्याठ कोबी,केजी,2026-04-30 04:44:27.047553,"बैशाख १७, २०८३",45.0,45.0,45.0,0.0,0.0,2348,current_live,4,True,0.0
चमसूरको साग,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",85.0,85.0,84.76,0.0,0.0,3838,current_live,4,True,0.0
चुकुन्दर,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",55.0,55.0,55.0,0.0,0.0,4322,current_live,4,True,0.0
जिरीको साग,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",95.0,95.0,95.0,0.0,0.0,4240,current_live,4,True,0.0
ताजा माछा(छडी),केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",245.0,245.0,245.0,0.0,0.0,2442,current_live,4,True,0.0
ताजा माछा(बचुवा),केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",290.0,290.0,290.0,0.0,0.0,2445,current_live,4,True,0.0
ताजा माछा(मुंगरी),केजी,2025-02-18 00:00:00.000000,"फाल्गुण ०६, २०८१",426.67,426.67,426.67,0.0,0.0,1799,stronger_historical,3,True,0.0
ताजा माछा(रहु),केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",330.0,330.0,330.0,0.0,0.0,2443,current_live,4,True,0.0
तामा,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",135.0,135.0,135.0,0.0,0.0,4453,current_live,4,True,0.0
तोफु,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",150.0,150.0,150.0,0.0,0.0,4410,current_live,4,True,0.0
नरिवल(काँचो),केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",75.0,75.0,75.0,0.0,0.0,15,current_live,4,True,0.0
नरिवल(हरियो),केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",160.0,160.0,163.57,0.0,0.0,19,current_live,4,True,0.0
नासपाती(चाइनिज),केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",155.0,155.0,155.18,0.0,0.0,1980,current_live,4,True,0.0
निबुवा,केजी,2026-04-10 04:18:55.002743,"चैत २७, २०८२",75.0,75.0,75.0,0.0,0.0,1507,current_live,4,True,0.0
न्यूरो,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",75.0,75.0,79.29,0.0,0.0,2367,current_live,4,True,0.0
परवर(तराई),केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",45.0,45.0,44.29,0.0,0.0,1598,current_live,4,True,0.0
पार्सले,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",210.0,210.0,210.0,0.0,0.0,3789,current_live,4,True,0.0
पालूगो साग,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",85.0,85.0,84.82,0.0,0.0,4161,current_live,4,True,0.0
पुदीना,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",110.0,110.0,115.0,0.0,0.0,4171,current_live,4,True,0.0
प्याज सुकेको (भारतीय),केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",41.25,41.25,41.36,0.0,0.0,4425,current_live,4,True,0.0
फर्सी पाकेको,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",55.0,55.0,55.06,0.0,0.0,4425,current_live,4,True,0.0
बकूला,केजी,2026-04-27 04:41:17.470954,"बैशाख १४, २०८३",50.0,50.0,50.95,0.0,0.0,1981,current_live,4,True,0.0
भुई कटहर,प्रति गोटा,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",190.0,190.0,190.0,0.0,0.0,4263,current_live,4,True,0.0
मटरकोशा,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",190.0,190.0,141.43,0.0,0.0,2900,current_live,4,True,0.0
माछा सुकेको,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",900.0,900.0,900.0,0.0,0.0,252,current_live,4,True,0.0
मूला सेतो(लोकल),केजी,2026-05-26 05:13:48.159356,"जेठ १२, २०८३",17.5,17.5,18.21,0.0,0.0,4178,current_live,4,True,0.0
मेथीको साग,केजी,2026-06-06 05:05:26.898992,"जेठ २३, २०८३",65.0,65.0,73.81,0.0,0.0,3398,current_live,4,True,0.0
मेवा(नेपाली),केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",85.0,85.0,85.0,0.0,0.0,3376,current_live,4,True,0.0
मेवा(भारतीय),केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",95.0,95.0,95.0,0.0,0.0,2452,current_live,4,True,0.0
मौसम,केजी,2026-03-06 00:00:00.000000,"फाल्गुण २२, २०८२",135.0,135.0,132.14,0.0,0.0,4094,current_live,4,True,0.0
रातो बन्दा,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",45.0,45.0,45.0,0.0,0.0,3173,current_live,4,True,0.0
रुख टमाटर,केजी,2026-03-26 04:06:02.361237,"चैत १२, २०८२",290.0,290.0,279.29,0.0,0.0,664,current_live,4,True,0.0
लसुन हरियो,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",176.67,176.67,176.19,0.0,0.0,4352,current_live,4,True,0.0
लीच्ची(भारतीय),केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",290.0,290.0,287.86,0.0,0.0,206,current_live,4,True,0.0
लीच्ची(लोकल),केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",240.0,240.0,235.71,0.0,0.0,431,current_live,4,True,0.0
शरीफा,के‍.जी,2026-01-03 00:00:00.000000,"पुस १९, २०८२",190.0,190.0,185.71,0.0,0.0,532,stronger_historical,3,True,0.0
सजिवन,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",110.0,110.0,110.0,0.0,0.0,1399,current_live,4,True,0.0
सिताके च्याउ,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",900.0,900.0,900.0,0.0,0.0,561,current_live,4,True,0.0
सुन्तला(भारतीय),केजी,2026-04-20 04:30:45.481221,"बैशाख ०७, २०८३",150.0,150.0,150.0,0.0,0.0,1206,current_live,4,True,0.0
सेलरी,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",125.0,125.0,125.0,0.0,0.0,4096,current_live,4,True,0.0
सौफको साग,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",85.0,85.0,85.0,0.0,0.0,3563,current_live,4,True,0.0
स्ट्रबेरी भुईऐसेलु,केजी,2026-04-12 04:21:32.630179,"चैत २९, २०८२",275.0,275.0,275.0,0.0,0.0,1025,current_live,4,True,0.0
स्याउ(फूजी),केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",290.0,290.0,290.0,0.0,0.0,2199,current_live,4,True,0.0
